Fecha,Precio Min. Bolsa diario,Precio Max. Bolsa diario,PPP Bolsa diario,Precio Escasez Activación,Precio Escasez Ponderado,PPP Bolsa Mes,Precio Escasez Inferior,Precio Escasez Superior,Precio Escasez
2025-01-04 00:00:00,399.7668839298,450.7668839298,417.170946,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-05 00:00:00,115.0670231839,401.5530231839,181.587268,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-06 00:00:00,191.9363873447,451.9363873447,326.08297,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-07 00:00:00,211.9529033853,531.9529033853,356.637017,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-08 00:00:00,213.3231435325,303.4461435325,243.192583,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-09 00:00:00,191.8101984168,269.8101984168,223.978128,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-10 00:00:00,202.1255104194,250.6255104194,220.563126,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-11 00:00:00,255.646960704,300.646960704,268.923397,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-12 00:00:00,262.0005944693,351.0005944693,298.896212,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-13 00:00:00,346.303661611,436.303661611,381.383272,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-14 00:00:00,360.6119125924,550.6119125924,446.962358,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-15 00:00:00,464.8934509376,929.8934509376,553.847128,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-16 00:00:00,579.5324597418,649.5324597418,597.802025,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-17 00:00:00,599.0736394876,718.7856394876,688.356253,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-18 00:00:00,575.101109019,810.100109019,671.072895,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-19 00:00:00,574.4969461837,789.4969461837,644.110732,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-20 00:00:00,529.3337105393,800.3337105393,658.661689,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-21 00:00:00,591.7838015619,800.7838015619,682.203578,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-22 00:00:00,636.2751435488,761.2751435488,706.176404,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-23 00:00:00,700.8519930221,799.8519930221,738.167769,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-24 00:00:00,636.6843472812,725.6473472812,681.428758,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-25 00:00:00,701.6894466348,806.6894466348,722.125611,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-26 00:00:00,704.1840078692,870.1840078692,760.342238,952,930.6858028657005,532.7799693273073,,,797.385728443
