Capacidad Útil Energía [GWh],Volumen Útil Energía [GWh],Fecha,Cero
17359.561885,5555.901800000001,2024-03-28 00:00:00,0
17359.561885,5530.485500000001,2024-03-29 00:00:00,0
17359.561885,5488.0676,2024-03-30 00:00:00,0
17359.561885,5469.610000000001,2024-03-31 00:00:00,0
17359.561885,5448.7277,2024-04-01 00:00:00,0
17359.561885,5459.965400000001,2024-04-02 00:00:00,0
17359.561885,5454.009899999999,2024-04-03 00:00:00,0
17359.561885,5494.1414,2024-04-04 00:00:00,0
17359.561885,5503.8724999999995,2024-04-05 00:00:00,0
17359.561885,5506.7722,2024-04-06 00:00:00,0
17359.561885,5491.018599999999,2024-04-07 00:00:00,0
17359.561885,5464.757800000001,2024-04-08 00:00:00,0
17359.561885,5428.9324,2024-04-09 00:00:00,0
17359.561885,5384.7399000000005,2024-04-10 00:00:00,0
17359.561885,5318.936,2024-04-11 00:00:00,0
17359.561885,5250.139,2024-04-12 00:00:00,0
17359.561885,5203.2676,2024-04-13 00:00:00,0
17359.561885,5172.0326000000005,2024-04-14 00:00:00,0
17359.561885,5115.4044,2024-04-15 00:00:00,0
17359.561885,5049.448599999999,2024-04-16 00:00:00,0
17359.561885,4988.4595,2024-04-17 00:00:00,0
17359.561885,4958.518299999999,2024-04-18 00:00:00,0
17359.561885,4973.441799999999,2024-04-19 00:00:00,0
17359.561885,5012.8494,2024-04-20 00:00:00,0
17359.561885,5103.9111,2024-04-21 00:00:00,0
17359.561885,5212.0758000000005,2024-04-22 00:00:00,0
17359.561885,5271.4577,2024-04-23 00:00:00,0
17359.561885,5292.0275,2024-04-24 00:00:00,0
17359.561885,5340.365700000001,2024-04-25 00:00:00,0
17359.561885,5399.0839000000005,2024-04-26 00:00:00,0
17359.561885,5454.0649,2024-04-27 00:00:00,0
17359.561885,5557.993199999999,2024-04-28 00:00:00,0
17359.561885,5672.5099,2024-04-29 00:00:00,0
17359.561885,5713.2456999999995,2024-04-30 00:00:00,0
17359.561885,5728.2676,2024-05-01 00:00:00,0
17359.561885,5733.993100000001,2024-05-02 00:00:00,0
17359.561885,5719.3192,2024-05-03 00:00:00,0
17359.561885,5846.9106,2024-05-04 00:00:00,0
17359.561885,5974.9895,2024-05-05 00:00:00,0
17359.561885,5996.6849999999995,2024-05-06 00:00:00,0
17359.561885,5991.191,2024-05-07 00:00:00,0
17359.561885,6059.5309,2024-05-08 00:00:00,0
17359.561885,6257.176499999999,2024-05-09 00:00:00,0
17359.561885,6396.5337,2024-05-10 00:00:00,0
17359.561885,6449.275800000001,2024-05-11 00:00:00,0
17359.561885,6510.7852,2024-05-12 00:00:00,0
17359.561885,6619.1441,2024-05-13 00:00:00,0
17359.561885,6635.1502,2024-05-14 00:00:00,0
17359.561885,6760.918300000001,2024-05-15 00:00:00,0
17359.561885,6840.0189,2024-05-16 00:00:00,0
17359.561885,6850.443800000001,2024-05-17 00:00:00,0
17359.561885,6859.712600000002,2024-05-18 00:00:00,0
17359.561885,6887.0101,2024-05-19 00:00:00,0
17359.561885,6869.533099999999,2024-05-20 00:00:00,0
17359.561885,6869.3306999999995,2024-05-21 00:00:00,0
17359.561885,6869.2968,2024-05-22 00:00:00,0
17359.561885,6877.1333,2024-05-23 00:00:00,0
17359.561885,6914.9541,2024-05-24 00:00:00,0
17359.561885,6961.553900000001,2024-05-25 00:00:00,0
17359.561885,7013.1629,2024-05-26 00:00:00,0
17359.561885,6984.3531,2024-05-27 00:00:00,0
17359.561885,7077.2288,2024-05-28 00:00:00,0
17359.561885,7324.968000000001,2024-05-29 00:00:00,0
17359.561885,7451.723000000001,2024-05-30 00:00:00,0
17359.561885,7585.127099999999,2024-05-31 00:00:00,0
17359.561885,7642.304799999999,2024-06-01 00:00:00,0
17359.561885,7666.632500000001,2024-06-02 00:00:00,0
17359.561885,7723.7385,2024-06-03 00:00:00,0
17359.561885,7994.1339,2024-06-04 00:00:00,0
17359.561885,8111.3666,2024-06-05 00:00:00,0
17359.561885,8162.761299999998,2024-06-06 00:00:00,0
17359.561885,8190.153899999999,2024-06-07 00:00:00,0
17359.561885,8229.441700000001,2024-06-08 00:00:00,0
17359.561885,8327.442299999999,2024-06-09 00:00:00,0
17359.561885,8438.929999999998,2024-06-10 00:00:00,0
17359.561885,8526.3715,2024-06-11 00:00:00,0
17359.561885,8555.227299999999,2024-06-12 00:00:00,0
17359.561885,8560.2377,2024-06-13 00:00:00,0
17359.561885,8626.404000000002,2024-06-14 00:00:00,0
17359.561885,8816.644400000001,2024-06-15 00:00:00,0
17359.561885,9166.2584,2024-06-16 00:00:00,0
17359.561885,9250.6779,2024-06-17 00:00:00,0
17359.561885,9284.8083,2024-06-18 00:00:00,0
17359.561885,9343.485899999998,2024-06-19 00:00:00,0
17359.561885,9425.0751,2024-06-20 00:00:00,0
17359.561885,9477.795499999998,2024-06-21 00:00:00,0
17359.561885,9545.616099999997,2024-06-22 00:00:00,0
17359.561885,9638.4529,2024-06-23 00:00:00,0
17359.561885,9650.600499999999,2024-06-24 00:00:00,0
17359.561885,9712.792999999998,2024-06-25 00:00:00,0
17359.561885,9862.195899999999,2024-06-26 00:00:00,0
17359.561885,9967.522200000001,2024-06-27 00:00:00,0
17359.561885,10023.4427,2024-06-28 00:00:00,0
17359.561885,10038.4929,2024-06-29 00:00:00,0
17359.561885,10058.564499999999,2024-06-30 00:00:00,0
17359.561885,10069.206900000003,2024-07-01 00:00:00,0
17359.561885,10099.1372,2024-07-02 00:00:00,0
17359.561885,10159.4369,2024-07-03 00:00:00,0
17359.561885,10220.999800000001,2024-07-04 00:00:00,0
17359.561885,10350.426300000001,2024-07-05 00:00:00,0
17359.561885,10403.0779,2024-07-06 00:00:00,0
17359.561885,10426.3233,2024-07-07 00:00:00,0
17359.561885,10392.808500000001,2024-07-08 00:00:00,0
17359.561885,10385.334099999998,2024-07-09 00:00:00,0
17359.561885,10348.054399999999,2024-07-10 00:00:00,0
17359.561885,10316.681199999999,2024-07-11 00:00:00,0
17359.561885,10308.7246,2024-07-12 00:00:00,0
17359.561885,10328.5581,2024-07-13 00:00:00,0
17359.561885,10346.241699999999,2024-07-14 00:00:00,0
17359.561885,10346.5535,2024-07-15 00:00:00,0
17359.561885,10344.7896,2024-07-16 00:00:00,0
17359.561885,10322.2824,2024-07-17 00:00:00,0
17359.561885,10299.0797,2024-07-18 00:00:00,0
17359.561885,10274.579,2024-07-19 00:00:00,0
17359.561885,10251.166499999998,2024-07-20 00:00:00,0
17359.561885,10290.3696,2024-07-21 00:00:00,0
17359.561885,10304.676599999999,2024-07-22 00:00:00,0
17359.561885,10296.9929,2024-07-23 00:00:00,0
17359.561885,10282.587,2024-07-24 00:00:00,0
17359.561885,10262.5496,2024-07-25 00:00:00,0
17359.561885,10227.967499999999,2024-07-26 00:00:00,0
17359.561885,10252.475299999996,2024-07-27 00:00:00,0
17359.561885,10346.2813,2024-07-28 00:00:00,0
17359.561885,10334.150499999998,2024-07-29 00:00:00,0
17359.561885,10323.496299999999,2024-07-30 00:00:00,0
17359.561885,10298.773400000002,2024-07-31 00:00:00,0
17359.561885,10243.9449,2024-08-01 00:00:00,0
17359.561885,10194.9494,2024-08-02 00:00:00,0
17359.561885,10154.262899999998,2024-08-03 00:00:00,0
17359.561885,10154.055099999998,2024-08-04 00:00:00,0
17358.205164999996,10152.2727,2024-08-05 00:00:00,0
17358.205164999996,10165.2472,2024-08-06 00:00:00,0
17358.205164999996,10165.442599999998,2024-08-07 00:00:00,0
17358.205164999996,10102.170499999998,2024-08-08 00:00:00,0
17358.205164999996,10083.815,2024-08-09 00:00:00,0
